module name	repository
spdx-license-ids@3.0.5	https://github.com/shinnn/spdx-license-ids
spdx-exceptions@2.2.0	https://github.com/kemitchell/spdx-exceptions.json
anymatch@2.0.0	https://github.com/micromatch/anymatch
cliui@4.1.0	https://github.com/yargs/cliui
fs.realpath@1.0.0	https://github.com/isaacs/fs.realpath
get-caller-file@1.0.3	https://github.com/stefanpenner/get-caller-file
glob@7.1.3	https://github.com/isaacs/node-glob
glob-parent@3.1.0	https://github.com/es128/glob-parent
har-schema@2.0.0	https://github.com/ahmadnassri/har-schema
inflight@1.0.6	https://github.com/npm/inflight
inherits@2.0.3	https://github.com/isaacs/inherits
ini@1.3.5	https://github.com/isaacs/ini
isexe@2.0.0	https://github.com/isaacs/isexe
json-stringify-safe@5.0.1	https://github.com/isaacs/json-stringify-safe
lru-cache@4.1.5	https://github.com/isaacs/node-lru-cache
make-error@1.3.5	https://github.com/JsCommunity/make-error
minimatch@3.0.4	https://github.com/isaacs/minimatch
once@1.4.0	https://github.com/isaacs/once
pseudomap@1.0.2	https://github.com/isaacs/pseudomap
remove-trailing-separator@1.1.0	https://github.com/darsain/remove-trailing-separator
require-main-filename@1.0.1	https://github.com/yargs/require-main-filename
sax@1.2.4	https://github.com/isaacs/sax-js
semver@5.6.0	https://github.com/npm/node-semver
set-blocking@2.0.0	https://github.com/yargs/set-blocking
setprototypeof@1.1.0	https://github.com/wesleytodd/setprototypeof
signal-exit@3.0.2	https://github.com/tapjs/signal-exit
which@1.3.1	https://github.com/isaacs/node-which
which-module@2.0.0	https://github.com/nexdrew/which-module
wrappy@1.0.2	https://github.com/npm/wrappy
yallist@2.1.2	https://github.com/isaacs/yallist
@webassemblyjs/helper-fsm@1.8.5	(‹ó”’)
aproba@1.2.0	https://github.com/iarna/aproba
browserify-sign@4.0.4	https://github.com/crypto-browserify/browserify-sign
copy-concurrently@1.0.5	https://github.com/npm/copy-concurrently
figgy-pudding@3.5.1	https://github.com/zkat/figgy-pudding
fs-write-stream-atomic@1.0.10	https://github.com/npm/fs-write-stream-atomic
get-caller-file@2.0.5	https://github.com/stefanpenner/get-caller-file
inherits@2.0.1	https://github.com/isaacs/inherits
lru-cache@5.1.1	https://github.com/isaacs/node-lru-cache
minimalistic-assert@1.0.1	https://github.com/calvinmetcalf/minimalistic-assert
move-concurrently@1.0.1	https://github.com/npm/move-concurrently
parse-asn1@5.1.4	https://github.com/crypto-browserify/parse-asn1
promise-inflight@1.0.1	https://github.com/iarna/promise-inflight
require-main-filename@2.0.0	https://github.com/yargs/require-main-filename
run-queue@1.0.3	https://github.com/iarna/run-queue
ssri@6.0.1	https://github.com/zkat/ssri
unique-filename@1.1.1	https://github.com/iarna/unique-filename
y18n@4.0.0	https://github.com/yargs/y18n
yallist@3.0.3	https://github.com/isaacs/yallist
yargs-parser@11.1.1	https://github.com/yargs/yargs-parser
ast-types-flow@0.0.7	https://github.com/kyldvs/ast-types-flow
boolbase@1.0.0	https://github.com/fb55/boolbase
cacache@11.3.3	https://github.com/zkat/cacache
cacache@12.0.2	https://github.com/npm/cacache
chownr@1.1.2	https://github.com/isaacs/chownr
circular-dependency-plugin@5.0.2	https://github.com/aackerman/circular-dependency-plugin
cli-width@2.2.0	https://github.com/knownasilya/cli-width
cliui@5.0.0	https://github.com/yargs/cliui
color-support@1.1.3	https://github.com/isaacs/color-support
d@1.0.1	https://github.com/medikoo/d
detect-node@2.0.4	https://github.com/iliakan/detect-node
dezalgo@1.0.3	https://github.com/npm/dezalgo
electron-to-chromium@1.3.235	https://github.com/kilian/electron-to-chromium
flatted@2.0.1	https://github.com/WebReflection/flatted
fs-minipass@1.2.6	https://github.com/npm/fs-minipass
glob@7.0.6	https://github.com/isaacs/node-glob
glob@7.1.4	https://github.com/isaacs/node-glob
graceful-fs@4.1.11	https://github.com/isaacs/node-graceful-fs
graceful-fs@4.2.2	https://github.com/isaacs/node-graceful-fs
hosted-git-info@2.8.4	https://github.com/npm/hosted-git-info
ignore-walk@3.0.1	https://github.com/isaacs/ignore-walk
infer-owner@1.0.4	https://github.com/npm/infer-owner
inherits@2.0.4	https://github.com/isaacs/inherits
killable@1.0.1	https://github.com/marten-de-vries/killable
license-webpack-plugin@2.1.1	https://github.com/xz64/license-webpack-plugin
make-fetch-happen@5.0.0	https://github.com/zkat/make-fetch-happen
minipass@2.3.5	https://github.com/isaacs/minipass
mute-stream@0.0.7	https://github.com/isaacs/mute-stream
npm-bundled@1.0.6	https://github.com/npm/npm-bundled
npm-package-arg@6.1.0	https://github.com/npm/npm-package-arg
npm-packlist@1.4.4	https://github.com/npm/npm-packlist
npm-pick-manifest@2.2.3	https://github.com/zkat/npm-pick-manifest
npm-registry-fetch@4.0.0	https://github.com/npm/registry-fetch
osenv@0.1.5	https://github.com/npm/osenv
read-package-json@2.1.0	https://github.com/npm/read-package-json
read-package-tree@5.3.1	https://github.com/npm/read-package-tree
readdir-scoped-modules@1.1.0	https://github.com/npm/readdir-scoped-modules
rimraf@2.6.2	https://github.com/isaacs/rimraf
rimraf@2.7.1	https://github.com/isaacs/rimraf
semver@6.3.0	https://github.com/npm/node-semver
setprototypeof@1.1.1	https://github.com/wesleytodd/setprototypeof
tar@4.4.10	https://github.com/npm/node-tar
unique-slug@2.0.2	https://github.com/iarna/unique-slug
validate-npm-package-name@3.0.0	https://github.com/npm/validate-npm-package-name
yargs-parser@13.1.1	https://github.com/yargs/yargs-parser
anymatch@3.1.1	https://github.com/micromatch/anymatch
earcut@2.2.1	https://github.com/mapbox/earcut
es5-ext@0.10.52	https://github.com/medikoo/es5-ext
es6-symbol@3.1.3	https://github.com/medikoo/es6-symbol
ext@1.2.0	https://github.com/medikoo/ext
glob-parent@5.1.0	https://github.com/gulpjs/glob-parent
